,nav
2014-12-31,6832827.0
2015-01-01,6820937.0
2015-01-02,6985966.0
2015-01-05,6962686.5
2015-01-06,6826352.0
2015-01-07,6867882.5
2015-01-08,6951416.0
2015-01-09,6963008.0
2015-01-12,6916913.0
2015-01-13,6922117.0
2015-01-14,6852052.0
2015-01-15,6893212.5
2015-01-16,6876438.0
2015-01-19,6814871.0
2015-01-20,6858181.5
2015-01-21,6837833.5
2015-01-22,6831406.5
2015-01-23,6828067.0
2015-01-27,6911778.5
2015-01-28,6981231.0
2015-01-29,6928395.0
2015-01-30,6861464.5
2015-02-02,6929650.5
2015-02-03,6935377.0
2015-02-04,6926393.5
2015-02-05,6895035.0
2015-02-06,6824693.0
2015-02-09,6779779.0
2015-02-10,6839953.5
2015-02-11,6913220.5
2015-02-12,7008482.5
2015-02-13,7105056.5
2015-02-16,7101886.0
2015-02-18,7215435.0
2015-02-19,7138199.5
2015-02-20,7096994.0
2015-02-23,7010803.0
2015-02-24,7032066.0
2015-02-25,7015007.5
2015-02-26,6951025.5
2015-02-27,7094784.5
2015-03-02,7124731.5
2015-03-03,7198444.5
2015-03-04,7155410.0
2015-03-05,7185378.0
2015-03-09,7089757.5
2015-03-10,7028820.5
2015-03-11,6966158.5
2015-03-12,7068307.5
2015-03-13,6985771.5
2015-03-16,6967032.0
2015-03-17,7040529.5
2015-03-18,6982532.0
2015-03-19,6955844.0
2015-03-20,6904749.5
2015-03-23,6878497.5
2015-03-24,6883120.5
2015-03-25,6897854.0
2015-03-26,6823808.5
2015-03-27,6794913.0
2015-03-30,6863182.0
2015-03-31,6885234.5
2015-04-01,6805142.5
2015-04-06,6814318.0
2015-04-07,6799781.0
2015-04-08,6813736.5
2015-04-09,6819890.0
2015-04-10,6794608.5
2015-04-13,6832304.0
2015-04-15,6764725.0
2015-04-16,6733855.5
2015-04-17,6582979.5
2015-04-20,6464844.5
2015-04-21,6470574.5
2015-04-22,6466126.0
2015-04-23,6463395.0
2015-04-24,6349288.0
2015-04-27,6270965.5
2015-04-28,6350230.0
2015-04-29,6406378.0
2015-04-30,6427994.0
2015-05-04,6486835.0
2015-05-05,6486708.0
2015-05-06,6414789.0
2015-05-07,6372651.0
2015-05-08,6416617.0
2015-05-11,6456664.0
2015-05-12,6390137.5
2015-05-13,6484789.0
2015-05-14,6561065.0
2015-05-15,6624381.0
2015-05-18,6717922.0
2015-05-19,6714963.0
2015-05-20,6755454.5
2015-05-21,6764885.0
2015-05-22,6757431.0
2015-05-25,6758401.0
2015-05-26,6778955.0
2015-05-27,6769164.5
2015-05-28,6720264.0
2015-05-29,6836497.0
2015-06-01,6815834.0
2015-06-02,6703067.5
2015-06-03,6580370.0
2015-06-04,6647607.0
2015-06-05,6679523.0
2015-06-08,6595000.0
2015-06-09,6564023.0
2015-06-10,6661212.5
2015-06-11,6551961.5
2015-06-12,6512507.0
2015-06-15,6526911.0
