config,score,N,buffer,gate,donchian,cagr,net20,maxdd,sharpe,sortino,calmar,net_calmar,fills,donch_exits,gate_derisk,avg_turn,cost_pct
mom30_N15_buf26_g200_d30,mom30,15,26,200,30,24.6,21.0,-32.4,1.45,1.54,0.76,0.65,120,509,18,0.231,131.2
rsblend_N5_buf18_g0_d0,rsblend,5,18,0,0,33.5,29.6,-46.6,1.12,1.53,0.72,0.64,147,0,0,0.08,120.1
rsblend_N5_buf18_g0_d15,rsblend,5,18,0,15,37.0,31.6,-36.7,1.52,2.09,1.01,0.86,147,424,0,0.296,460.8
rsblend_N5_buf18_g0_d20,rsblend,5,18,0,20,34.5,29.3,-38.4,1.37,1.86,0.9,0.76,147,346,0,0.248,352.3
rsblend_N5_buf18_g0_d30,rsblend,5,18,0,30,37.2,32.1,-37.8,1.41,1.97,0.98,0.85,147,242,0,0.185,365.9
rsblend_N5_buf18_g100_d0,rsblend,5,18,100,0,35.4,29.3,-28.7,1.44,1.75,1.24,1.02,108,0,23,0.149,232.2
rsblend_N5_buf18_g100_d15,rsblend,5,18,100,15,34.6,29.6,-20.6,1.65,1.95,1.68,1.44,110,282,22,0.315,379.4
rsblend_N5_buf18_g100_d20,rsblend,5,18,100,20,33.3,28.4,-23.7,1.54,1.81,1.41,1.2,110,213,23,0.271,324.9
rsblend_N5_buf18_g100_d30,rsblend,5,18,100,30,34.7,29.3,-23.0,1.54,1.85,1.51,1.28,109,142,23,0.216,336.7
rsblend_N5_buf18_g200_d0,rsblend,5,18,200,0,32.5,26.9,-40.6,1.26,1.55,0.8,0.66,118,0,18,0.126,152.9
rsblend_N5_buf18_g200_d15,rsblend,5,18,200,15,31.1,26.1,-29.6,1.46,1.77,1.05,0.88,121,325,18,0.32,306.9
rsblend_N5_buf18_g200_d20,rsblend,5,18,200,20,30.4,25.4,-34.5,1.35,1.63,0.88,0.74,119,252,18,0.27,262.1
rsblend_N5_buf18_g200_d30,rsblend,5,18,200,30,33.7,28.4,-30.9,1.44,1.82,1.09,0.92,118,168,18,0.212,288.0
rsblend_N5_buf22_g0_d0,rsblend,5,22,0,0,34.8,31.6,-51.8,1.15,1.55,0.67,0.61,147,0,0,0.074,119.4
