seg_idx,seg_dir,seg_entry_dt,seg_end_dt,seg_bars,cst_idx,cst_dt,cst_close,cst_atr,continuation_pts,reversal_pts,outcome,mfe_before_cst,mfe_after_cst,mfe_extension_pct
14,1,2024-08-16 13:30:00,2024-09-05 15:00:00,160,1209,2024-08-20 11:00:00,24709.45,53.149506942241096,612.5499999999993,48.75,TREND_CONTINUED,252.5,840.2000000000007,2.3275247524752505
14,1,2024-08-16 13:30:00,2024-09-05 15:00:00,160,1215,2024-08-20 14:00:00,24715.1,46.443319725902505,606.9000000000015,54.39999999999782,TREND_CONTINUED,252.5,840.2000000000007,2.3275247524752505
14,1,2024-08-16 13:30:00,2024-09-05 15:00:00,160,1217,2024-08-20 15:00:00,24672.85,45.37716074911795,649.1500000000015,12.149999999997817,TREND_CONTINUED,252.5,840.2000000000007,2.3275247524752505
14,1,2024-08-16 13:30:00,2024-09-05 15:00:00,160,1222,2024-08-21 11:30:00,24716.1,46.694568828532184,605.9000000000015,19.299999999999272,TREND_CONTINUED,272.15000000000146,840.2000000000007,2.0872680507073165
14,1,2024-08-16 13:30:00,2024-09-05 15:00:00,160,1231,2024-08-22 10:00:00,24808.85,41.61451848847982,513.1500000000015,12.19999999999709,TREND_CONTINUED,357.75,840.2000000000007,1.3485674353598902
14,1,2024-08-16 13:30:00,2024-09-05 15:00:00,160,1236,2024-08-22 12:30:00,24826.9,36.8682687115561,495.09999999999854,30.25,TREND_CONTINUED,366.0,840.2000000000007,1.2956284153005484
14,1,2024-08-16 13:30:00,2024-09-05 15:00:00,160,1245,2024-08-26 11:00:00,24991.85,42.452708362833164,330.15000000000146,27.19999999999709,TREND_CONTINUED,562.0,840.2000000000007,0.49501779359430736
14,1,2024-08-16 13:30:00,2024-09-05 15:00:00,160,1252,2024-08-26 14:30:00,25018.35,37.124215735142016,303.65000000000146,53.69999999999709,TREND_CONTINUED,562.0,840.2000000000007,0.49501779359430736
14,1,2024-08-16 13:30:00,2024-09-05 15:00:00,160,1259,2024-08-27 12:00:00,25043.6,38.24024112695264,278.40000000000146,78.94999999999709,TREND_CONTINUED,591.2999999999993,840.2000000000007,0.4209369186538166
14,1,2024-08-16 13:30:00,2024-09-05 15:00:00,160,1276,2024-08-28 14:30:00,25060.05,37.040669910635245,261.9500000000007,61.54999999999927,TREND_CONTINUED,647.7999999999993,840.2000000000007,0.2970052485335006
14,1,2024-08-16 13:30:00,2024-09-05 15:00:00,160,1286,2024-08-29 13:30:00,25138.65,38.38632908581373,183.34999999999854,140.15000000000146,TREND_CONTINUED,692.75,840.2000000000007,0.2128473475279693
14,1,2024-08-16 13:30:00,2024-09-05 15:00:00,160,1297,2024-08-30 13:00:00,25235.5,46.08770082593535,86.5,145.75,CST_CORRECT,776.3500000000022,840.2000000000007,0.08224383332259724
14,1,2024-08-16 13:30:00,2024-09-05 15:00:00,160,1306,2024-09-02 11:30:00,25287.75,41.60768345277448,16.349999999998545,198.0,CST_CORRECT,840.2000000000007,840.2000000000007,0.0
15,-1,2024-09-06 10:00:00,2024-09-10 12:30:00,30,1353,2024-09-06 11:00:00,24904.2,48.10666809159589,151.04999999999927,180.34999999999854,CST_CORRECT,88.75,195.1999999999971,1.199436619718277
15,-1,2024-09-06 10:00:00,2024-09-10 12:30:00,30,1361,2024-09-06 15:00:00,24868.5,49.398615808495464,115.34999999999854,216.04999999999927,CST_CORRECT,147.04999999999927,195.1999999999971,0.3274396463787695
16,1,2024-09-10 13:30:00,2024-09-27 15:00:00,136,1410,2024-09-13 09:30:00,25326.55,70.3811351362896,950.7999999999993,41.0,TREND_CONTINUED,316.84999999999854,1160.8499999999985,2.66372100362949
16,1,2024-09-10 13:30:00,2024-09-27 15:00:00,136,1417,2024-09-13 13:00:00,25353.45,58.20851977209978,923.8999999999978,67.90000000000146,TREND_CONTINUED,316.84999999999854,1160.8499999999985,2.66372100362949
16,1,2024-09-10 13:30:00,2024-09-27 15:00:00,136,1427,2024-09-17 12:00:00,25417.35,48.44744144865016,860.0,131.79999999999927,TREND_CONTINUED,316.84999999999854,1160.8499999999985,2.66372100362949
16,1,2024-09-10 13:30:00,2024-09-27 15:00:00,136,1437,2024-09-18 11:00:00,25457.1,41.23502327374687,820.25,171.54999999999927,TREND_CONTINUED,362.09999999999854,1160.8499999999985,2.2058823529411855
16,1,2024-09-10 13:30:00,2024-09-27 15:00:00,136,1440,2024-09-18 12:30:00,25427.05,40.32170782744573,850.2999999999993,141.5,TREND_CONTINUED,365.7000000000007,1160.8499999999985,2.174323215750605
16,1,2024-09-10 13:30:00,2024-09-27 15:00:00,136,1466,2024-09-20 13:30:00,25665.75,75.93701613800141,611.5999999999985,72.0,TREND_CONTINUED,690.4500000000007,1160.8499999999985,0.6812948077340826
16,1,2024-09-10 13:30:00,2024-09-27 15:00:00,136,1473,2024-09-23 11:00:00,25868.45,79.0257394936377,408.8999999999978,21.100000000002183,TREND_CONTINUED,809.2999999999993,1160.8499999999985,0.4343877424935124
16,1,2024-09-10 13:30:00,2024-09-27 15:00:00,136,1481,2024-09-23 15:00:00,25930.15,62.55779192164871,347.1999999999971,58.80000000000291,TREND_CONTINUED,839.5,1160.8499999999985,0.38278737343656766
16,1,2024-09-10 13:30:00,2024-09-27 15:00:00,136,1497,2024-09-26 11:00:00,26063.6,48.8222565195562,213.75,28.94999999999709,TREND_CONTINUED,971.2999999999993,1160.8499999999985,0.19515082878616227
