,nav
2012-08-06,3842174.75
2012-08-07,3859909.5
2012-08-08,3909352.5
2012-08-09,3907962.5
2012-08-10,3923556.0
2012-08-13,3955139.25
2012-08-14,3963255.75
2012-08-16,3979442.75
2012-08-17,3996046.5
2012-08-21,3988521.25
2012-08-22,3966820.5
2012-08-23,3962649.75
2012-08-24,3960431.75
2012-08-27,3940819.5
2012-08-28,3883187.5
2012-08-29,3909841.5
2012-08-30,3939955.75
2012-08-31,3941916.0
2012-09-03,3938696.75
2012-09-04,3926816.0
2012-09-05,3929386.25
2012-09-06,3986419.0
2012-09-07,4034693.25
2012-09-08,4034759.0
2012-09-10,4077255.75
2012-09-11,4066640.75
2012-09-12,4036260.0
2012-09-13,4018010.25
2012-09-14,4030584.75
2012-09-17,3992489.25
2012-09-18,3985515.75
2012-09-20,3970145.75
2012-09-21,3997506.0
2012-09-24,3971592.0
2012-09-25,3985723.25
2012-09-26,4033008.25
2012-09-27,4088881.25
2012-09-28,4140600.75
2012-10-01,4188252.25
2012-10-03,4216096.5
2012-10-04,4232754.5
2012-10-05,4205506.0
2012-10-08,4216029.5
2012-10-09,4228882.5
2012-10-10,4191975.75
2012-10-11,4227934.0
2012-10-12,4292046.5
2012-10-15,4284854.0
2012-10-16,4280956.5
2012-10-17,4263876.5
2012-10-18,4277676.0
2012-10-19,4254544.5
2012-10-22,4289297.5
2012-10-23,4308905.0
2012-10-25,4312649.0
2012-10-26,4252889.0
2012-10-29,4225817.0
2012-10-30,4211186.0
2012-10-31,4243811.5
2012-11-01,4261414.0
2012-11-02,4307898.0
2012-11-05,4304337.0
2012-11-06,4329068.5
2012-11-07,4412314.0
2012-11-08,4450789.5
2012-11-09,4416977.0
2012-11-12,4444972.5
2012-11-13,4456113.5
2012-11-15,4484569.5
2012-11-16,4410475.5
2012-11-19,4363505.5
2012-11-20,4407073.5
2012-11-21,4403989.0
2012-11-22,4434917.0
2012-11-23,4476229.5
2012-11-26,4498283.0
2012-11-27,4494977.5
2012-11-29,4454352.0
2012-11-30,4461377.5
2012-12-03,4483153.0
2012-12-04,4507971.5
2012-12-05,4522281.5
2012-12-06,4529110.0
2012-12-07,4509718.0
2012-12-10,4541119.0
2012-12-11,4496386.0
2012-12-12,4487950.5
2012-12-13,4466267.0
2012-12-14,4510076.0
2012-12-17,4495032.0
2012-12-18,4540716.5
2012-12-19,4560383.0
2012-12-20,4550793.0
2012-12-21,4504048.0
2012-12-24,4537408.0
2012-12-26,4533471.5
2012-12-27,4509640.5
2012-12-28,4530231.0
2012-12-31,4526759.5
2013-01-01,4547979.0
2013-01-02,4576957.0
2013-01-03,4595968.5
2013-01-04,4619753.0
2013-01-07,4562044.5
2013-01-08,4564528.5
2013-01-09,4543438.0
2013-01-10,4549541.5
2013-01-11,4490388.5
2013-01-14,4524733.5
2013-01-15,4526061.0
2013-01-16,4510375.5
2013-01-17,4543965.5
2013-01-18,4506513.5
2013-01-21,4485049.5
2013-01-22,4451079.5
2013-01-23,4437305.5
2013-01-24,4348568.5
2013-01-25,4370983.5
2013-01-28,4401385.0
2013-01-29,4371589.0
2013-01-30,4367668.0
2013-01-31,4418575.0
2013-02-01,4434927.0
2013-02-04,4428830.0
2013-02-05,4410407.0
2013-02-06,4433390.0
2013-02-07,4405283.0
