,mq,kc6,combined
2023-11-07,9097121.22656055,4577338.137324944,13674459.363885494
2023-11-08,9167411.566561157,4577527.419311274,13744938.98587243
2023-11-09,9214783.44656176,4569067.755662784,13783851.202224543
2023-11-10,9292977.216562364,4589900.42926524,13882877.645827604
2023-11-12,9403595.456563575,4600346.110809399,14003941.567372974
2023-11-13,9459508.22656418,4591938.983789554,14051447.210353734
2023-11-15,9544682.906565387,4592094.60913439,14136777.515699778
2023-11-16,9531198.066565996,4587393.986873128,14118592.053439125
2023-11-17,9649319.626566598,4587848.117034995,14237167.743601594
2023-11-20,9709145.006568415,4597884.028857527,14307029.035425942
2023-11-21,9720302.83656902,4598765.814835665,14319068.651404686
2023-11-22,9639868.866569627,4598955.982898845,14238824.849468473
2023-11-23,9649305.976570232,4597389.8200298995,14246695.796600131
2023-11-24,9640458.56657084,4602893.221041961,14243351.787612801
2023-11-28,9700140.866573265,4585012.831766733,14285153.698339999
2023-11-29,9780573.456573874,4589428.514468716,14370001.97104259
2023-11-30,9817545.586574478,4592483.437676735,14410029.024251213
2023-12-01,10056621.366575085,4593364.187925057,14649985.55450014
2023-12-04,10168391.03657691,4594245.107084385,14762636.143661294
2023-12-05,10195293.996577516,4595126.195187114,14790420.19176463
2023-12-06,10270300.856578121,4595316.212744823,14865617.069322944
2023-12-07,10248929.866578728,4571467.825173845,14820397.691752572
2023-12-08,10253210.506579336,4548416.043889503,14801626.55046884
2023-12-11,10341808.78658116,4549288.342856824,14891097.129437985
2023-12-12,10289658.026581772,4550160.809114358,14839818.835696131
2023-12-13,10482532.596582375,4551033.442694189,15033566.039276564
2023-12-14,10524323.336582987,4551906.243628404,15076229.58021139
2023-12-15,10474168.036583593,4552779.2119491,15026947.248532694
2023-12-18,10491125.706585418,4553652.347688378,15044778.054273795
2023-12-19,10483026.936586028,4554525.650878346,15037552.587464374
2023-12-20,10148841.386586636,4555399.121551117,14704240.508137753
2023-12-21,10249793.466587245,4556272.759738812,14806066.226326058
2023-12-22,10304241.216587856,4557146.5654735565,14861387.782061413
2023-12-26,10388699.146590294,4558020.538787483,14946719.685377777
2023-12-27,10375015.716590902,4558894.67971273,14933910.396303631
2023-12-28,10414533.406591509,4559768.988281443,14974302.394872952
2023-12-29,10474051.906592121,4560643.464525771,15034695.371117894
2024-01-01,10562036.996593952,4561518.108477872,15123555.105071824
2024-01-02,10550628.886594564,4562392.920169909,15113021.806764472
2024-01-03,10582623.756595172,4563267.899634051,15145891.656229224
2024-01-04,10718540.21659578,4563456.59978822,15281996.816383999
2024-01-05,10768512.826596396,4562605.411278591,15331118.237874987
2024-01-08,10743445.426598223,4571705.285952828,15315150.71255105
2024-01-09,10725797.046598839,4576971.132478255,15302768.179077093
2024-01-10,10754553.606599446,4582102.392898182,15336655.99949763
2024-01-11,10768324.02660006,4564319.707760396,15332643.734360456
2024-01-12,10825886.305562867,4565195.056745446,15391081.362308312
2024-01-15,10891534.3855647,4566070.5736056445,15457604.959170345
2024-01-16,10855445.235565314,4566946.258373185,15422391.493938498
2024-01-17,10731677.035565926,4567135.110634764,15298812.14620069
2024-01-18,10757100.635566533,4542743.01031371,15299843.645880243
2024-01-19,10982445.215567144,4579195.171963883,15561640.387531027
2024-01-20,10983048.775567757,4580073.373777684,15563122.14934544
2024-01-23,10726329.645569598,4578885.1294368515,15305214.77500645
2024-01-24,10977510.715570208,4587709.002428176,15565219.717998384
2024-01-25,10975927.255570821,4598893.298254805,15574820.553825626
2024-01-29,11251676.135573274,4602563.518392826,15854239.653966099
2024-01-30,11222643.745573886,4595184.824488134,15817828.570062019
2024-01-31,11324814.7955745,4604356.716566804,15929171.512141302
2024-02-01,11285973.19557511,4601488.444654913,15887461.640230022
2024-02-02,11412623.655575724,4607898.819400081,16020522.474975806
2024-02-05,11436387.755577566,4608782.52602298,16045170.281600546
2024-02-06,11509458.805578178,4609666.402123861,16119125.207702039
2024-02-07,11581035.555578798,4610550.447735228,16191586.003314026
2024-02-08,11531193.145579409,4611434.662889588,16142627.808468997
2024-02-09,11291377.145580022,4611625.354834695,15903002.500414718
2024-02-12,11027445.655581865,4608415.624260065,15635861.27984193
2024-02-13,11047417.845582483,4660079.103667126,15707496.94924961
2024-02-14,11216294.51848155,4753647.17016372,15969941.68864527
2024-02-15,11287578.608482165,4822334.815837097,16109913.424319264
2024-02-16,11340523.50848278,4831634.946719908,16172158.455202688
2024-02-19,11416209.728484627,4830874.630548045,16247084.359032672
2024-02-20,11378958.798485244,4836984.156919029,16215942.955404272
2024-02-21,11238176.35848586,4843630.612911773,16081806.971397635
2024-02-22,11401118.398486475,4844559.528371784,16245677.926858258
2024-02-23,11449209.25848709,4845488.621979965,16294697.880467055
2024-02-26,11395401.918488936,4846417.893770481,16241819.812259417
2024-02-27,11366853.118489552,4847347.343777506,16214200.462267058
2024-02-28,11126933.078490172,4848276.972035216,15975210.050525388
2024-02-29,11171018.498490786,4848477.4578783,16019495.956369087
2024-03-01,11362127.268491404,4848035.059451044,16210162.327942448
2024-03-02,11424780.028492017,4852656.72162135,16277436.750113368
2024-03-04,11421374.608493252,4845594.444420017,16266969.052913269
2024-03-05,11405347.49849387,4847899.294147259,16253246.79264113
2024-03-06,11360493.208967302,4821791.418051415,16182284.627018716
2024-03-07,11397104.698967922,4845688.272723313,16242792.971691236
2024-03-11,11339435.138970394,4859637.912996207,16199073.0519666
2024-03-12,11209906.801716907,4834041.951313269,16043948.753030177
2024-03-13,10672079.941717526,4724629.251589544,15396709.19330707
2024-03-14,10958160.068564774,4895226.924471288,15853386.993036062
2024-03-15,10886179.668565392,4894132.474644675,15780312.143210068
2024-03-18,10835963.338567248,4906749.346231593,15742712.68479884
2024-03-19,10624989.087275803,4890730.161476076,15515719.248751879
2024-03-20,10618985.167276422,4899190.120405674,15518175.287682096
2024-03-21,10821807.387277042,4897402.545697765,15719209.932974808
2024-03-22,10900836.277277658,4902856.967857215,15803693.245134871
2024-03-26,11029051.297280138,4908655.468918557,15937706.766198695
2024-03-27,10968961.927280758,4906616.561079719,15875578.488360476
2024-03-28,11004246.007281376,4912121.815773626,15916367.823055003
2024-04-01,11143667.767283853,4915964.3599135,16059632.127197353
2024-04-02,11228231.31728447,4916907.147598963,16145138.464883434
2024-04-03,11201974.637285095,4917850.116093024,16119824.75337812
2024-04-04,11196264.917285712,4918793.265430356,16115058.182716068
2024-04-05,11217211.557286333,4919736.595645645,16136948.152931977
2024-04-08,11258989.567288194,4920680.106773577,16179669.674061771
2024-04-09,11195841.367288817,4921623.798848849,16117465.166137666
2024-04-10,11259098.387289435,4922567.671906162,16181666.059195597
2024-04-12,11188607.777290678,4923511.725980226,16112119.503270904
