assets,signal,horizon,window,n_obs,ic_mean,ic_t,ic_hit,top_ann,mid_ann,bot_ann,spread_ann,monotone
IND20,DISTHIGH252,1m,half2,117,0.0512,1.83,55.6,25.99,24.08,22.91,3.08,True
IND20,DISTHIGH252,3m,full,227,0.1282,5.98,67.8,28.5,23.91,20.85,7.65,True
IND20,DISTHIGH252,3m,half1,112,0.175,5.31,73.2,29.73,23.19,17.92,11.81,True
IND20,DISTHIGH252,3m,half2,115,0.0825,3.06,62.6,27.29,24.62,23.71,3.59,True
IND20,MADIST50,1m,full,234,0.0744,3.66,60.7,29.34,22.86,18.2,11.14,True
IND20,MADIST50,1m,half1,117,0.1149,3.79,68.4,32.17,19.81,15.11,17.07,True
IND20,MADIST50,1m,half2,117,0.0338,1.27,53.0,26.51,25.92,21.29,5.22,True
IND20,MADIST50,3m,full,232,0.1243,5.95,69.8,29.92,24.04,20.76,9.16,True
IND20,MADIST50,3m,half1,117,0.1671,5.62,76.1,32.04,21.46,19.58,12.47,True
IND20,MADIST50,3m,half2,115,0.0807,2.79,63.5,27.75,26.67,21.97,5.79,True
IND20,MADIST100,1m,full,233,0.0923,4.51,62.2,31.44,21.17,18.38,13.06,True
IND20,MADIST100,1m,half1,116,0.1288,4.24,65.5,33.16,20.36,14.72,18.44,True
IND20,MADIST100,1m,half2,117,0.0561,2.06,59.0,29.73,21.98,22.01,7.72,False
IND20,MADIST100,3m,full,231,0.1452,6.91,69.3,30.8,23.59,19.93,10.87,True
IND20,MADIST100,3m,half1,116,0.1858,6.1,72.4,31.26,23.89,17.13,14.14,True
IND20,MADIST100,3m,half2,115,0.1044,3.65,66.1,30.34,23.29,22.76,7.57,True
IND20,MADIST200,1m,full,231,0.0984,4.55,64.9,30.41,20.67,18.37,12.04,True
IND20,MADIST200,1m,half1,114,0.133,4.05,67.5,29.98,18.41,16.68,13.31,True
IND20,MADIST200,1m,half2,117,0.0647,2.3,62.4,30.82,22.87,20.03,10.8,True
IND20,MADIST200,3m,full,229,0.1547,7.02,72.1,30.71,22.4,20.21,10.51,True
