symbol,entry_date,exit_date,entry_px,exit_px,qty,reason,held_days,ret_net_pct
ABBOTINDIA,2025-03-04,2025-04-02,31351.0,30305.2,100,rebalance_out,29,-3.82
EICHERMOT,2025-03-04,2025-04-02,4887.0,5361.7,608,rebalance_out,29,9.17
HDFCBANK,2025-03-04,2025-04-02,849.0,885.4,6252,rebalance_out,29,3.77
ANANDRATHI,2025-03-04,2025-04-02,1043.2,916.0,2499,rebalance_out,29,-12.63
TCPLPACK,2025-03-04,2025-05-05,4016.37,3573.01,379,rebalance_out,62,-11.48
BAJFINANCE,2025-03-04,2025-06-03,852.0,910.5,3855,rebalance_out,91,6.33
ASTRAZEN,2025-03-04,2025-07-02,6868.25,8959.0,335,rebalance_out,120,29.79
POKARNA,2025-04-02,2025-05-05,1218.19,868.28,1860,rebalance_out,33,-29.08
JSLL,2025-04-02,2025-06-03,412.8,414.5,5895,rebalance_out,62,-0.09
SWARAJENG,2025-04-02,2025-06-03,3862.4,3772.1,732,rebalance_out,62,-2.83
VADILALIND,2025-04-02,2025-06-03,5131.22,5508.77,493,rebalance_out,62,6.82
MAZDOCK,2025-04-02,2025-07-02,2585.0,3279.9,1078,rebalance_out,91,26.25
GODFRYPHLP,2025-04-02,2025-08-04,2400.0,2953.0,764,rebalance_out,124,22.43
GABRIEL,2025-04-02,2025-12-02,593.0,1044.8,4595,rebalance_out,244,75.31
CHOICEIN,2025-05-05,2025-08-04,618.0,760.0,7214,rebalance_out,91,22.36
AIIL,2025-05-05,2025-11-04,366.3,568.0,2704,rebalance_out,183,54.29
REFEX,2025-06-03,2025-07-02,500.0,454.9,4451,rebalance_out,29,-9.47
GRSE,2025-06-03,2025-08-04,2970.0,2580.3,660,rebalance_out,62,-13.55
SOLARINDS,2025-06-03,2025-08-04,16348.0,13900.0,285,rebalance_out,62,-15.4
LUMAXTECH,2025-06-03,2026-02-02,902.0,1270.0,2803,rebalance_out,244,40.1
FAZE3Q,2025-07-02,2025-08-04,633.6,628.95,3833,rebalance_out,33,-1.23
REDINGTON,2025-07-02,2025-08-04,329.0,248.2,10377,rebalance_out,33,-24.94
BANCOINDIA,2025-07-02,2025-09-02,669.45,590.1,3243,rebalance_out,62,-12.29
POCL,2025-08-04,2025-09-02,1167.45,1078.9,2554,rebalance_out,29,-8.05
JGCHEM,2025-08-04,2025-09-02,479.97,462.45,6162,rebalance_out,29,-4.13
KRISHANA,2025-08-04,2025-10-03,537.55,437.0,5555,rebalance_out,60,-19.11
TI,2025-08-04,2025-10-03,504.41,450.6,5533,rebalance_out,60,-11.11
AGIIL,2025-08-04,2026-01-02,217.0,264.0,14807,rebalance_out,151,21.05
ASHAPURMIN,2025-08-04,2026-02-02,533.7,665.1,6501,rebalance_out,182,24.0
GODFRYPHLP,2025-09-02,2025-11-04,3583.0,3067.1,568,rebalance_out,63,-14.83
JSLL,2025-09-02,2026-01-02,714.5,690.0,3689,rebalance_out,122,-3.91
LUMAXIND,2025-09-02,2026-02-02,4360.0,4600.0,738,rebalance_out,153,4.98
BANCOINDIA,2025-10-03,2025-11-04,864.0,736.8,3173,rebalance_out,32,-15.15
NETWEB,2025-10-03,2025-12-02,4029.0,3218.0,529,rebalance_out,60,-20.53
HBLENGINE,2025-11-04,2025-12-02,990.0,870.35,2127,rebalance_out,28,-12.52
TDPOWERSYS,2025-11-04,2026-01-02,403.0,339.0,8701,rebalance_out,59,-16.3
GARUDA,2025-12-02,2026-01-02,220.4,192.0,10347,rebalance_out,31,-13.32
KMEW,2025-12-02,2026-02-02,1489.0,1672.6,1307,rebalance_out,62,11.77
SBC,2025-12-02,2026-02-02,27.03,28.85,12,rebalance_out,62,6.2
ABCAPITAL,2025-12-02,2026-04-02,356.1,298.9,11475,rebalance_out,121,-16.48
GMBREW,2026-01-02,2026-02-02,1210.0,956.05,1361,rebalance_out,31,-21.38
POCL,2026-01-02,2026-02-02,1518.9,1187.0,2098,rebalance_out,31,-22.24
KRISHANA,2026-01-02,2026-02-02,524.2,470.75,6101,rebalance_out,31,-10.64
MCX,2026-01-02,2026-02-02,2230.0,2212.7,1480,rebalance_out,31,-1.27
PGIL,2026-02-02,2026-03-04,1603.0,1475.0,1722,rebalance_out,30,-8.44
