symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
GRINDWELL,compression,short,442,107,0.3738,0.8234,-0.3845,1.278,6.099,1.72,7.17
GSFC,compression,long,442,260,0.2346,0.7661,-0.3904,0.601,32.161,-3.647,-30.96
GSFC,compression,short,442,130,0.3846,0.6824,-0.3837,1.111,3.064,0.732,3.42
GSPL,compression,long,442,276,0.3116,0.7615,-0.3842,0.897,15.512,-0.763,-7.51
GSPL,compression,short,442,90,0.3889,0.8944,-0.3643,1.562,3.011,3.108,11.27
GUJGASLTD,compression,long,442,297,0.2929,0.733,-0.3919,0.775,20.919,-1.803,-18.52
GUJGASLTD,compression,short,442,111,0.4505,0.7827,-0.3808,1.685,2.8,3.661,15.91
GULFOILLUB,compression,long,442,244,0.2951,0.839,-0.3911,0.898,12.162,-0.758,-6.86
GULFOILLUB,compression,short,442,109,0.4312,0.8994,-0.3895,1.75,2.2,3.993,18.12
HDFCAMC,compression,long,442,323,0.3313,0.7402,-0.383,0.957,10.939,-0.304,-3.52
HDFCAMC,compression,short,442,116,0.3448,0.6699,-0.372,0.948,4.369,-0.367,-1.48
HEG,compression,long,442,235,0.3277,0.927,-0.395,1.144,7.698,0.952,8.97
HEG,compression,short,442,124,0.3226,0.8123,-0.3846,1.006,4.987,0.041,0.19
HEIDELBERG,compression,long,442,303,0.2277,0.8481,-0.389,0.643,34.497,-3.161,-32.5
HEIDELBERG,compression,short,442,165,0.3091,0.6278,-0.3738,0.751,14.481,-1.987,-10.6
HERITGFOOD,compression,long,442,259,0.2741,0.9049,-0.3787,0.902,20.301,-0.72,-6.96
HERITGFOOD,compression,short,442,97,0.3918,0.7698,-0.3824,1.297,2.98,1.807,6.69
HFCL,compression,long,442,208,0.2788,0.9378,-0.3933,0.922,12.7,-0.576,-4.6
HFCL,compression,short,442,82,0.3293,0.9073,-0.3801,1.172,4.6,1.116,3.59
HINDCOPPER,compression,long,442,221,0.3213,0.9076,-0.3977,1.08,9.822,0.548,4.79
HINDCOPPER,compression,short,442,89,0.3146,0.814,-0.3889,0.961,8.427,-0.28,-0.93
HINDPETRO,compression,long,442,287,0.3066,0.8468,-0.389,0.963,8.474,-0.269,-2.89
HINDPETRO,compression,short,442,119,0.437,0.7296,-0.389,1.456,4.326,2.592,11.88
HINDZINC,compression,long,442,275,0.2836,0.7715,-0.3808,0.802,16.121,-1.545,-14.84
HINDZINC,compression,short,442,123,0.374,0.6891,-0.3841,1.072,6.951,0.482,2.12
HONAUT,compression,long,442,291,0.2784,0.7327,-0.38,0.744,31.893,-2.057,-20.45
HONAUT,compression,short,442,158,0.4241,0.6996,-0.36,1.431,5.462,2.463,14.12
HUDCO,compression,long,442,216,0.3426,0.8513,-0.3984,1.114,5.623,0.761,6.43
HUDCO,compression,short,442,99,0.4343,0.8536,-0.4,1.639,3.2,3.524,14.31
ICICIGI,compression,long,442,327,0.3914,0.7872,-0.3864,1.31,6.998,1.898,23.87
ICICIGI,compression,short,442,114,0.3509,0.6765,-0.3812,0.959,4.863,-0.29,-1.15
